deviceid,objectid,object_type,object_name,group
10,505,0,온도감지기(TD-2) FOR 냉난방코일 OF AHU-3 냉온수 환수온도,온도감지기(TD-2)
11,600,0,온도감지기(TD-1) FOR AHU-4 혼합온도,온도감지기(TD-1) 
11,601,0,온도감지기(TD-2) FOR 냉난방코일 OF AHU-4 냉온수 급수온도,온도감지기(TD-2)
11,602,0,온도감지기(TD-2) FOR 냉난방코일 OF AHU-4 냉온수 환수온도,온도감지기(TD-2)
11,603,0,온도감지기(TD-1) FOR HVU-1 혼합온도,온도감지기(TD-1) 
11,604,0,온도감지기(TD-2) FOR 동파방지코일 OF HVU-1 냉온수 급수온도,온도감지기(TD-2)
11,605,0,온도감지기(TD-2) FOR 동파방지코일 OF HVU-1 냉온수 환수온도,온도감지기(TD-2)
12,500,0,온도감지기(TD-2) FOR 지열시스템 냉온수 급수온도,온도감지기(TD-2)
12,501,0,온도감지기(TD-2) FOR 지열시스템 냉온수 환수온도,온도감지기(TD-2)
12,502,0,온도감지기(TD-2) FOR 지열시스템 냉온수 급수온도,온도감지기(TD-2)
12,503,0,온도감지기(TD-2) FOR 지열시스템 냉온수 환수온도,온도감지기(TD-2)
12,504,0,온도감지기(TD-2) FOR 지열시스템 냉온수 급수온도,온도감지기(TD-2)
12,505,0,온도감지기(TD-2) FOR 지열시스템 냉온수 환수온도,온도감지기(TD-2)
12,506,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,507,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,600,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,601,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,602,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,603,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,604,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,605,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,606,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,607,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,700,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 급수온도,온도감지기(TD-2)
12,701,0,온도감지기(TD-2) FOR 열원설비-2 냉온수 환수온도,온도감지기(TD-2)
12,800,0,차압감지기(PDP) FOR 열원설비-2 차압감시,기타
12,801,0,시수 메인 유량,유량/수위
12,802,0,시수 유량,유량/수위
12,803,0,중수 유량,유량/수위
12,804,0,우수 유량,유량/수위
12,805,0,냉각수 유량,유량/수위
